time,mode,center_x,center_y,center_z,formation_error,min_obstacle_clearance,min_pair_distance,total_energy,total_path_length,avg_force_norm
17.2,overflight,1.6388934866114968,0.0,1.85,0.44525259501787595,0.24671992384218755,1.161237094430394,192.7756249073206,47.022443395282366,1.722134286134731
17.25,overflight,1.6560973569423973,0.0,1.85,0.4488626101036982,0.26249816288958217,1.1770626360537058,193.65806442507971,47.206531576815706,1.7295412819112848
17.3,overflight,1.673301227273297,0.0,1.85,0.4555911759863641,0.27735458674732594,1.1893113938313,194.45365359542865,47.39905743843411,1.6927248912856154
17.35,overflight,1.6905050976041969,0.0,1.85,0.4632924250224139,0.29052812707419995,1.186611287509824,195.17822521051997,47.59121916950906,1.6112298943852856
17.400000000000002,overflight,1.7077089679350974,0.0,1.85,0.4717337302318816,0.3014167364183715,1.1680335372333843,195.890837134656,47.783438734635816,1.6191893238042823
17.45,overflight,1.7249128382659964,0.0,1.85,0.48051657849434876,0.30956987893938837,1.152202783065884,196.59172612676736,47.97476879647874,1.617418424446943
17.5,overflight,1.742116708596896,0.0,1.85,0.48914079392495147,0.3146403412234864,1.140064704636455,197.49852725355188,48.16361517761823,1.7811236459137056
17.55,overflight,1.7593205789277966,0.0,1.85,0.4978533974956775,0.31656942159644275,1.1318012639852257,198.36349178576822,48.352178496028245,1.749508691130891
17.6,overflight,1.7765244492586965,0.0,1.85,0.5064118246244618,0.3156510534230341,1.1236664821573816,199.37944823448018,48.54467970119971,1.8971413208635748
17.650000000000002,overflight,1.793728319589596,0.0,1.85,0.5152759697458436,0.312153603806846,1.1195768399298094,200.2796202590098,48.73776488136829,1.7870213758490028
17.7,overflight,1.8100427133638317,0.0,1.85,0.5263566378640276,0.2887834076471829,1.1185838513602342,201.34416127487506,48.93308752172352,2.0338737554384068
17.75,overflight,1.8258468239526766,0.0,1.85,0.5382708937073578,0.26366724276199427,1.118596658493255,202.67021981085497,49.124278885710964,2.2246277063865536
17.8,overflight,1.841650934541521,0.0,1.85,0.5493300079077497,0.23911213085594762,1.1193438314451707,203.7697040694095,49.30748847253918,1.9212887804995469
17.85,overflight,1.8574550451303655,0.0,1.85,0.5593000835292832,0.22035456862711822,1.1198761164623359,204.79865290831967,49.47938411980847,1.8518342334696645
17.900000000000002,overflight,1.8732591557192106,0.0,1.85,0.5680767554711164,0.2072918216864057,1.1203958777841663,205.58752203967498,49.643352855511175,1.5812815033410665
17.95,overflight,1.8890632663080542,0.0,1.85,0.575666801539195,0.19988034556687628,1.1209957505606856,206.21203618706187,49.803390058864835,1.3185607981155962
18.0,overflight,1.9048673768968984,0.0,1.85,0.5820659008664005,0.19769631520137165,1.1228130679214043,206.6959507001411,49.96216573391652,1.1274389608229136
18.05,overflight,1.9206714874857438,0.0,1.85,0.5881128248567821,0.2002748791277158,1.1269913761615187,207.39016917346916,50.12034487803618,1.458842213935611
18.1,overflight,1.9364755980745882,0.0,1.85,0.5929768272149539,0.20713863729633242,1.138435629574903,208.37699611448423,50.27690176934665,1.7646725909236962
18.150000000000002,overflight,1.9522797086634323,0.0,1.85,0.5968428288683955,0.21779723878659396,1.1570749729419327,209.2738972741241,50.433615654612915,1.6708203970148106
18.2,overflight,1.9680838192522763,0.0,1.85,0.5997678713883489,0.23176173057926064,1.1818351290059046,210.09206034228453,50.589908212613,1.598992914597413
18.25,overflight,1.9838879298411212,0.0,1.85,0.6019575999503503,0.24814344898275298,1.178209717202479,210.68688551501583,50.73767624938764,1.450167531250894
